y_true,y_pred
17.0,14.534862
22.0,21.714287
25.0,27.47833
21.0,21.458889
34.0,33.378044
19.0,16.947733
19.0,18.346077
34.0,34.437374
21.0,20.504221
39.0,38.984303
37.0,37.245087
14.0,15.230098
26.0,25.462849
28.0,28.069387
32.0,31.856836
39.0,39.23349
24.0,24.499548
8.0,7.939221
12.0,12.0102215
15.0,14.586988
12.0,12.036585
13.0,10.989112
25.0,26.51335
11.0,10.320221
18.0,18.129753
40.0,38.759033
30.0,28.748528
38.0,37.797188
24.0,23.106615
33.0,31.295797
14.0,14.497371
42.0,41.973938
38.0,42.67305
40.0,39.785904
33.0,34.323357
26.0,25.050041
14.0,16.391275
40.0,34.03343
41.0,39.09429
31.0,30.653242
15.0,14.587107
31.0,30.530912
41.0,40.503433
20.0,20.148508
24.0,22.78471
21.0,20.648422
32.0,31.56495
19.0,18.900242
14.0,22.28137
13.0,12.391428
26.0,25.813519
8.0,8.851452
35.0,34.17967
34.0,33.800026
34.0,31.033144
34.0,32.92396
11.0,11.443338
21.0,22.044638
27.0,27.56389
40.0,37.886772
27.0,28.076117
22.0,21.183989
20.0,19.634188
28.0,28.561424
36.0,35.053627
10.0,10.560871
13.0,12.129236
18.0,19.00699
12.0,12.549444
26.0,24.761314
13.0,12.842684
41.0,39.066025
17.0,16.673582
15.0,14.539549
24.0,25.796728
16.0,16.225517
23.0,23.62567
27.0,27.827068
28.0,28.071152
17.0,16.62774
13.0,12.881679
42.0,41.688274
19.0,18.65208
12.0,12.715126
38.0,38.694782
8.0,6.957356
17.0,17.240759
24.0,23.943312
33.0,35.82328
26.0,25.983984
33.0,33.769684
17.0,16.906534
26.0,25.68876
31.0,29.838095
38.0,37.952442
17.0,16.437424
17.0,15.492319
10.0,10.436205
21.0,20.186201
30.0,30.047913
29.0,30.701654
32.0,29.982306
18.0,20.160002
19.0,18.252651
40.0,39.8471
18.0,18.543165
24.0,22.957733
16.0,15.884385
8.0,4.4942102
42.0,42.298965
11.0,11.575139
24.0,23.747396
35.0,34.22381
42.0,41.148697
9.0,7.903354
12.0,11.516505
29.0,29.171051
24.0,23.747396
39.0,35.02367
14.0,16.133743
33.0,33.052395
31.0,28.601904
37.0,35.04454
34.0,33.295494
35.0,35.044865
38.0,38.60172
22.0,21.432314
19.0,17.321459
24.0,22.79653
16.0,16.225515
33.0,33.96757
33.0,33.016552
40.0,39.705498
10.0,10.244143
17.0,17.562141
9.0,9.154946
40.0,39.86149
38.0,38.62607
21.0,16.422934
33.0,29.884844
34.0,34.034492
17.0,16.638754
17.0,15.867637
28.0,27.979414
26.0,25.503534
24.0,23.461199
12.0,12.023697
11.0,10.177002
23.0,23.26856
39.0,37.186287
32.0,29.674067
30.0,30.090857
11.0,10.545559
18.0,19.739725
33.0,30.650072
39.0,38.95054
21.0,20.185799
36.0,34.319717
12.0,11.832693
28.0,27.604048
14.0,14.208363
14.0,13.795777
18.0,18.50257
25.0,24.474958
26.0,25.463938
40.0,39.018456
33.0,34.27732
35.0,34.667267
31.0,30.975752
27.0,27.55775
18.0,17.926977
22.0,23.440596
12.0,11.807411
37.0,36.851574
8.0,7.9388604
11.0,10.8349285
12.0,12.549444
22.0,22.29728
38.0,36.960556
27.0,27.055414
29.0,30.412855
10.0,10.088003
33.0,33.51645
14.0,14.885308
34.0,33.77663
27.0,25.884314
35.0,34.347763
22.0,22.311068
38.0,38.69906
24.0,23.813375
17.0,17.504925
28.0,27.110134
33.0,33.85325
8.0,7.7278457
39.0,37.450195
34.0,32.998703
19.0,17.47996
13.0,12.391428
26.0,25.528337
25.0,24.697643
14.0,14.99325
27.0,27.980688
39.0,38.497482
20.0,24.021078
38.0,38.694782
20.0,19.5119
37.0,37.627686
26.0,26.231695
